draw,match,winner,sets,match up
womens_singles,1.22,Hibino  Friedsam,,(  L) Nao Hibino  OR  (   ) Anna-Lena Friedsam
womens_singles,1.23,Marino  Shnaider,,(   ) Rebecca Marino  OR  (   ) Diana Shnaider
womens_singles,1.24,Maria  Haddad_Maia,,(   ) Tatjana Maria  OR  ( 14) Beatriz Haddad Maia
womens_singles,1.25,Kvitova  Cocciaretto,,( 10) Petra Kvitova  OR  (   ) Elisabetta Cocciaretto
womens_singles,1.26,Waltert  Mandlik,,(  Q) Simona Waltert  OR  (  Q) Elizabeth Mandlik
womens_singles,1.27,Kontaveit  Pera,,(   ) Anett Kontaveit  OR  (   ) Bernarda Pera
womens_singles,1.28,Yastremska  Vekic,,(  Q) Dayana Yastremska  OR  ( 22) Donna Vekic
womens_singles,1.29,Cirstea  Paolini,,( 30) Sorana Cirstea  OR  (   ) Jasmine Paolini
womens_singles,1.30,Danilovic  Baindl,,(  Q) Olga Danilovic  OR  (   ) Kateryna Baindl
womens_singles,1.31,Janicijevic  Dodin,,(  W) Selena Janicijevic  OR  (   ) Dodin
womens_singles,1.32,Bronzetti  Jabeur,,(   ) Lucia Bronzetti  OR  (  7) Ons Jabeur
womens_singles,1.33,Sakkari  Muchova,,(  8) Maria Sakkari  OR  (   ) Karolina Muchova
womens_singles,1.34,Podoroska  Ponchet,,(   ) Nadia Podoroska  OR  (  W) Ponchet
womens_singles,1.35,Errani  Teichmann,,(   ) Sara Errani  OR  (   ) Jil Teichmann
womens_singles,1.36,Bondar  Begu,,(   ) Anna Bondar  OR  ( 27) Irina-Camelia Begu
womens_singles,1.37,Linette  Fernandez,,( 21) Magda Linette  OR  (   ) Leylah Fernandez
womens_singles,1.38,Tauson  Sasnovich,,(  Q) C.Tauson  OR  (   ) Aliaksandra Sasnovich
womens_singles,1.39,Jeanjean  Birrell,,(  W) Leolia Jeanjean  OR  (  W) Kimberly Birrell
womens_singles,1.40,Avanesyan  Bencic,,(  L) Elina Avanesyan  OR  ( 12) Belinda Bencic
womens_singles,1.41,Samsonova  Volynets,,( 15) Liudmila Samsonova  OR  (   ) Katie Volynets
womens_singles,1.42,Pavlyuchenkova  Fruhvirtova_Linda,,(   ) Anastasia Pavlyuchenkova  OR  (   ) Linda Fruhvirtova
womens_singles,1.43,Sherif  Brengle,,(   ) Mayar Sherif  OR  (   ) Madison Brengle
womens_singles,1.44,Townsend  Potapova,,(  Q) Taylor Townsend  OR  ( 24) Anastasia Potapova
womens_singles,1.45,Mertens  Hruncakova,,( 28) Elise Mertens  OR  (  L) V.Hruncakova
womens_singles,1.46,Mcnally  Bogdan,,(   ) Catherine McNally  OR  (   ) Ana Bogdan
womens_singles,1.47,Cornet  Giorgi,,(   ) Alize Cornet  OR  (   ) Camila Giorgi
womens_singles,1.48,Collins  Pegula,,(   ) Danielle Collins  OR  (  3) Jessica Pegula
womens_singles,1.49,Garcia  Wang_Xinyu,,(  5) Caroline Garcia  OR  (   ) Xinyu Wang
womens_singles,1.50,Blinkova  Bonaventure,,(   ) Anna Blinkova  OR  (   ) Ysaline Bonaventure
womens_singles,1.51,Parrizas_Diaz  Hunter,,(   ) Nuria Parrizas Diaz  OR  (  Q) Storm Hunter
womens_singles,1.52,Svitolina  Trevisan,,(   ) Svitolina  OR  ( 26) Martina Trevisan
womens_singles,1.53,Ostapenko  Martincova,,( 17) Jelena Ostapenko  OR  (   ) Tereza Martincova
womens_singles,1.54,Stearns  Siniakova,,(   ) Peyton Stearns  OR  (   ) Katerina Siniakova
womens_singles,1.55,Vondrousova  Parks,,(   ) Marketa Vondrousova  OR  (   ) Alycia Parks
womens_singles,1.56,Niemeier  Kasatkina,,(   ) Jule Niemeier  OR  (  9) Daria Kasatkina
womens_singles,1.57,Pliskova  Stephens,,( 16) Karolina Pliskova  OR  (   ) Sloane Stephens
womens_singles,1.58,Gracheva  Galfi,,(   ) Varvara Gracheva  OR  (   ) Dalma Galfi
womens_singles,1.59,Putintseva  Zanevska,,(   ) Yulia Putintseva  OR  (   ) Maryna Zanevska
womens_singles,1.60,Zidansek  Zheng,,(  Q) Tamara Zidansek  OR  ( 19) Qinwen Zheng
womens_singles,1.61,Zhang_Shuai  Frech,,( 29) Shuai Zhang  OR  (   ) Magdalena Frech
womens_singles,1.62,Bejlek  Rakhimova,,(  Q) Sara Bejlek  OR  (   ) Kamilla Rakhimova
womens_singles,1.63,Udvardy  Shymanovich,,(   ) Panna Udvardy  OR  (  Q) I.Shymanovich
womens_singles,1.64,Kostyuk  Sabalenka,,(   ) Marta Kostyuk  OR  (  2) Aryna Sabalenka
